region_code,reporting_year,statistic
AFE,1981,all
AFE,1982,all
AFE,1983,all
AFE,1984,all
AFE,1985,all
AFE,1986,all
AFE,1987,all
AFE,1988,all
AFE,1989,all
AFE,1990,all
AFE,1991,all
AFE,1992,all
AFE,1997,all
AFE,2019,all
AFE,2020,all
AFE,2021,all
AFE,2022,all
AFW,1981,all
AFW,1982,all
AFW,2000,all
AFW,2007,all
AFW,2020,all
AFW,2021,all
AFW,2022,all
ECA,1981,all
ECA,1982,all
ECA,1983,all
ECA,1984,all
ECA,1985,all
ECA,1986,all
ECA,1987,all
ECA,1988,all
ECA,1989,all
MNA,1981,all
MNA,1982,all
MNA,1983,all
MNA,1984,all
MNA,2002,all
MNA,2019,all
MNA,2020,all
MNA,2021,all
MNA,2022,all
SAS,1997,all
SAS,1998,all
SAS,1999,all
SAS,2000,all
SAS,2001,all
SSA,1981,all
SSA,1982,all
SSA,1983,all
SSA,1984,all
SSA,1985,all
SSA,1986,all
SSA,1987,all
SSA,1988,all
SSA,1989,all
SSA,2020,all
SSA,2021,all
SSA,2022,all
AFE,1977,all
AFE,1978,all
AFE,1979,all
AFE,1980,all
AFW,1977,all
AFW,1978,all
AFW,1979,all
AFW,1980,all
EAP,1977,all
ECA,1977,all
ECA,1978,all
ECA,1979,all
ECA,1980,all
LAC,1977,all
LAC,1978,all
LAC,1979,all
LAC,1980,all
MNA,1977,all
MNA,1978,all
MNA,1979,all
MNA,1980,all
SSA,1977,all
SSA,1978,all
SSA,1979,all
SSA,1980,all
WLD,1977,all
