region_code,reporting_year,statistic
AFE,1981,all
AFE,1982,all
AFE,1983,all
AFE,1984,all
AFE,1985,all
AFE,1986,all
AFE,1987,all
AFE,1988,all
AFE,1989,all
AFE,1990,all
AFE,1991,all
AFE,1992,all
AFE,1997,all
AFW,1981,all
AFW,1982,all
AFW,2000,all
AFW,2007,all
ECA,1981,all
ECA,1982,all
ECA,1983,all
ECA,1984,all
ECA,1985,all
ECA,1986,all
ECA,1987,all
ECA,1988,all
ECA,1989,all
MNA,1981,all
MNA,1982,all
MNA,1983,all
MNA,1984,all
MNA,2002,all
SAR,1997,all
SAR,1998,all
SAR,1999,all
SAR,2000,all
SAR,2001,all
SSA,1981,all
SSA,1982,all
SSA,1983,all
SSA,1984,all
SSA,1985,all
SSA,1986,all
SSA,1987,all
SSA,1988,all
SSA,1989,all
